pelvis_x,pelvis_y,pelvis_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,torso_x,torso_y,torso_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,neck_x,neck_y,neck_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_big_toe_x,left_big_toe_y,left_big_toe_z,right_big_toe_x,right_big_toe_y,right_big_toe_z,left_small_toe_x,left_small_toe_y,left_small_toe_z,right_small_toe_x,right_small_toe_y,right_small_toe_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_knuckle_x,left_pinky_knuckle_y,left_pinky_knuckle_z,right_pinky_knuckle_x,right_pinky_knuckle_y,right_pinky_knuckle_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,left_index_knuckle_x,left_index_knuckle_y,left_index_knuckle_z,right_index_knuckle_x,right_index_knuckle_y,right_index_knuckle_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z, right_thumb_tip_x, right_thumb_tip_y, right_thumb_tip_z
-296.7,215.0,4516.8,-192.8,210.1,4521.7,-399.0,205.3,4509.1,-295.6,-53.6,4510.4,-214.5,613.7,4478.1,-354.0,574.2,4403.3,-301.6,-310.7,4520.9,-246.5,974.6,4587.5,-342.7,966.5,4503.0,-264.0,1063.6,4394.2,-311.2,1039.0,4313.6,-198.5,1069.5,4432.1,-374.7,1046.7,4339.4,-251.0,1036.2,4642.8,-340.4,1030.9,4566.8,-297.5,-435.9,4404.8,-267.4,-466.1,4446.7,-331.9,-461.0,4446.5,-236.9,-445.0,4509.5,-367.2,-440.4,4508.1,-129.2,-250.9,4534.1,-472.8,-249.6,4508.1,-77.9,4.7,4537.6,-517.8,25.5,4520.4,-61.1,226.7,4422.3,-540.2,240.0,4416.3,-44.8,307.7,4405.5,-549.5,312.2,4396.4,-93.6,354.4,4372.7,-499.6,356.4,4374.0,-67.6,294.3,4369.3,-526.1,302.4,4363.5,-90.6,315.5,4358.9,-500.8,323.2,4356.5
-298.7,206.3,4550.7,-193.7,197.3,4555.3,-402.1,194.2,4543.5,-297.9,-57.9,4546.1,-215.2,619.9,4512.4,-356.9,585.5,4438.7,-303.8,-313.3,4556.9,-246.8,983.6,4617.9,-344.8,976.3,4536.4,-263.7,1069.1,4427.8,-314.2,1046.7,4350.5,-200.1,1075.2,4465.1,-376.6,1054.7,4375.1,-251.7,1044.8,4671.2,-342.1,1041.3,4597.0,-298.8,-439.9,4443.8,-266.0,-470.4,4484.1,-334.7,-466.3,4484.4,-238.0,-447.8,4546.2,-370.2,-444.0,4545.4,-133.1,-253.6,4570.9,-474.2,-252.6,4547.0,-78.5,6.5,4571.5,-520.5,25.4,4558.9,-61.3,228.5,4455.4,-543.6,242.2,4456.0,-44.7,309.8,4437.1,-554.6,315.2,4436.9,-93.5,357.0,4406.4,-505.2,359.8,4415.2,-68.5,296.5,4401.8,-530.8,305.3,4404.7,-93.3,317.8,4392.3,-504.3,326.3,4398.4
-300.1,196.8,4577.3,-194.2,184.8,4581.4,-404.4,183.0,4570.5,-299.8,-63.6,4574.2,-215.5,625.3,4539.5,-359.6,597.1,4468.0,-305.4,-315.6,4585.3,-246.4,993.4,4640.3,-346.2,985.6,4563.9,-262.5,1072.8,4453.5,-317.4,1052.7,4382.2,-201.4,1079.0,4489.9,-378.0,1061.2,4405.6,-251.5,1054.3,4691.0,-343.2,1051.0,4621.5,-299.2,-443.2,4475.3,-263.4,-474.1,4513.9,-337.0,-471.2,4514.8,-238.2,-449.7,4575.3,-372.6,-446.8,4575.1,-137.6,-256.4,4599.8,-473.3,-256.0,4578.1,-79.0,8.8,4597.9,-521.9,24.7,4589.8,-61.5,229.9,4481.3,-545.5,243.8,4488.2,-44.2,311.5,4461.6,-558.7,317.5,4470.0,-92.7,358.9,4433.1,-510.4,362.6,4449.1,-69.5,298.2,4427.3,-534.3,307.7,4438.7,-96.6,319.5,4418.8,-506.3,329.0,4433.0
-300.2,191.6,4585.9,-193.7,177.8,4589.5,-405.1,177.7,4579.5,-300.4,-67.4,4583.9,-214.9,628.2,4548.7,-360.9,604.3,4479.0,-305.5,-316.6,4595.1,-245.0,998.4,4645.2,-346.4,990.5,4573.3,-259.8,1072.5,4462.3,-319.3,1054.7,4396.2,-201.8,1078.8,4497.8,-377.9,1063.4,4418.5,-250.4,1058.6,4693.6,-343.0,1055.8,4628.4,-298.5,-444.7,4488.6,-260.7,-476.0,4525.4,-337.8,-474.0,4526.7,-237.4,-449.7,4585.9,-373.5,-447.7,4586.3,-140.7,-258.2,4610.2,-471.0,-258.3,4590.6,-79.1,11.1,4606.0,-521.3,24.1,4601.8,-61.2,230.3,4489.2,-545.3,244.5,4502.2,-43.2,311.8,4468.3,-560.4,318.7,4485.4,-91.0,359.3,4441.8,-513.2,364.0,4465.0,-70.0,298.7,4435.2,-535.3,309.0,4454.8,-98.8,319.8,4427.4,-506.0,330.4,4449.6
-299.9,188.3,4589.0,-193.1,174.0,4592.1,-405.4,174.7,4582.9,-300.7,-69.9,4588.3,-214.0,630.3,4552.4,-361.7,608.3,4484.2,-305.4,-317.1,4599.6,-243.6,1001.0,4644.9,-346.1,993.6,4576.9,-257.5,1071.4,4465.8,-320.7,1055.4,4404.0,-201.9,1077.6,4500.5,-377.4,1064.3,4425.2,-249.3,1060.6,4691.2,-342.4,1058.5,4629.5,-297.6,-445.6,4496.3,-258.4,-477.1,4531.4,-338.3,-475.9,4533.3,-236.4,-449.2,4591.1,-373.9,-448.0,4592.0,-143.1,-259.5,4615.1,-469.2,-259.9,4597.6,-79.1,12.9,4608.8,-520.6,24.0,4608.4,-60.8,230.4,4491.9,-544.9,245.0,4510.9,-42.3,311.7,4469.8,-561.6,319.5,4494.9,-89.4,359.2,4445.1,-516.0,364.9,4475.2,-70.3,298.7,4437.8,-535.9,310.0,4465.2,-100.4,319.7,4430.7,-506.0,331.4,4460.6
-299.6,186.5,4589.2,-192.4,172.1,4592.0,-405.4,173.1,4583.4,-300.9,-71.4,4589.8,-213.1,632.0,4553.0,-362.3,610.6,4486.1,-305.2,-317.4,4601.4,-242.7,1001.8,4641.7,-345.9,995.2,4577.6,-255.7,1070.1,4466.0,-321.8,1055.7,4408.4,-201.9,1076.0,4500.1,-376.8,1064.5,4428.6,-248.5,1060.9,4686.2,-342.0,1059.7,4627.9,-296.9,-446.3,4500.9,-256.8,-478.0,4534.6,-338.6,-477.3,4536.9,-235.5,-448.6,4593.4,-374.2,-448.0,4594.8,-144.9,-260.5,4617.1,-467.6,-261.1,4601.6,-79.1,14.0,4608.9,-519.9,23.9,4611.8,-60.4,230.4,4491.9,-544.4,245.3,4515.7,-41.4,311.4,4468.9,-562.3,319.9,4500.5,-88.1,359.0,4445.9,-518.0,365.4,4481.4,-70.6,298.6,4437.8,-536.2,310.6,4471.5,-101.6,319.5,4431.4,-505.8,332.1,4467.4
-299.2,185.6,4588.3,-191.8,171.3,4590.7,-405.3,171.9,4582.8,-300.9,-72.3,4590.1,-212.2,633.4,4552.2,-362.7,612.1,4486.7,-304.9,-317.5,4602.0,-242.0,1002.2,4637.8,-345.7,996.2,4577.1,-254.9,1068.9,4465.2,-322.8,1055.8,4411.0,-202.0,1074.7,4498.7,-376.5,1064.5,4430.4,-247.9,1060.8,4680.8,-341.6,1060.2,4625.5,-296.2,-446.8,4504.0,-255.7,-478.6,4536.5,-338.8,-478.4,4539.1,-234.9,-448.0,4594.6,-374.3,-448.0,4596.3,-145.9,-261.0,4617.9,-466.7,-261.8,4604.2,-79.1,15.1,4607.9,-519.0,23.7,4613.5,-60.0,230.3,4490.4,-543.8,245.4,4518.1,-40.5,311.2,4466.3,-562.7,320.1,4503.4,-87.4,358.8,4445.0,-519.0,365.7,4484.7,-70.7,298.4,4436.1,-536.1,310.9,4474.9,-102.4,319.1,4430.3,-505.2,332.5,4471.4
-298.8,185.1,4587.2,-191.3,170.7,4589.4,-405.1,171.1,4581.9,-301.0,-73.0,4590.3,-211.5,634.3,4551.2,-363.1,612.6,4486.9,-304.7,-317.7,4602.5,-241.4,1002.0,4633.8,-345.5,996.5,4576.3,-254.4,1067.9,4464.2,-323.5,1055.8,4413.4,-202.0,1073.5,4497.0,-376.1,1064.5,4431.9,-247.4,1060.3,4675.6,-341.3,1060.2,4622.9,-295.8,-447.3,4506.8,-255.1,-479.2,4538.2,-338.9,-479.2,4541.1,-234.4,-447.5,4595.6,-374.4,-447.9,4597.6,-146.7,-261.5,4618.6,-466.2,-262.3,4606.4,-79.1,15.9,4606.8,-518.5,23.6,4615.0,-59.6,230.3,4489.1,-543.4,245.5,4520.3,-39.8,310.9,4464.2,-563.0,320.3,4506.0,-86.7,358.8,4444.3,-519.7,366.0,4487.8,-70.8,298.2,4434.7,-536.0,311.1,4478.0,-102.9,318.9,4429.6,-504.7,332.8,4475.0
-298.6,183.8,4587.3,-191.0,169.1,4589.3,-405.2,169.6,4582.3,-301.1,-74.0,4591.6,-211.1,634.8,4551.5,-363.5,612.8,4488.2,-304.6,-318.0,4604.1,-240.9,1001.9,4631.3,-345.3,997.0,4576.7,-253.9,1067.3,4464.3,-324.1,1056.1,4416.5,-202.1,1072.9,4496.5,-375.8,1064.7,4434.3,-246.9,1059.9,4671.8,-341.1,1060.3,4621.6,-295.6,-447.8,4510.4,-254.7,-479.7,4540.9,-339.1,-480.0,4544.0,-234.1,-447.2,4597.7,-374.6,-447.9,4599.9,-147.3,-262.0,4620.4,-466.1,-263.0,4609.6,-79.0,16.4,4607.0,-518.2,23.3,4617.6,-59.3,230.2,4488.9,-543.4,245.5,4523.6,-39.2,310.7,4463.4,-563.4,320.6,4509.5,-86.1,358.7,4444.7,-520.8,366.4,4491.8,-70.9,298.1,4434.5,-536.3,311.4,4482.2,-103.4,318.7,4429.9,-505.0,333.2,4479.5
-298.5,182.3,4589.1,-190.9,167.0,4590.9,-405.3,167.5,4584.3,-301.4,-75.5,4594.4,-210.7,635.3,4553.5,-364.1,613.1,4490.8,-304.8,-318.6,4607.2,-240.6,1001.9,4630.5,-345.4,997.6,4578.3,-253.7,1067.3,4465.7,-324.9,1056.7,4420.4,-202.2,1072.8,4497.4,-375.9,1065.2,4437.6,-246.6,1059.7,4669.9,-341.0,1060.7,4621.6,-295.7,-448.5,4515.3,-254.7,-480.4,4545.1,-339.5,-480.8,4548.3,-234.2,-447.1,4601.3,-374.9,-448.1,4603.6,-148.3,-262.7,4623.7,-466.2,-263.7,4613.9,-79.1,16.3,4608.8,-518.1,22.7,4621.5,-59.0,230.2,4490.7,-543.7,245.6,4528.3,-38.8,310.6,4464.5,-564.1,320.9,4514.7,-86.0,358.7,4447.1,-522.2,366.8,4497.5,-71.1,298.0,4436.3,-536.9,311.8,4487.8,-103.9,318.6,4432.1,-505.6,333.6,4485.6
