pelvis_x,pelvis_y,pelvis_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,torso_x,torso_y,torso_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,neck_x,neck_y,neck_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_big_toe_x,left_big_toe_y,left_big_toe_z,right_big_toe_x,right_big_toe_y,right_big_toe_z,left_small_toe_x,left_small_toe_y,left_small_toe_z,right_small_toe_x,right_small_toe_y,right_small_toe_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_knuckle_x,left_pinky_knuckle_y,left_pinky_knuckle_z,right_pinky_knuckle_x,right_pinky_knuckle_y,right_pinky_knuckle_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,left_index_knuckle_x,left_index_knuckle_y,left_index_knuckle_z,right_index_knuckle_x,right_index_knuckle_y,right_index_knuckle_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z, right_thumb_tip_x, right_thumb_tip_y, right_thumb_tip_z
242.1,278.8,6801.7,338.3,275.7,6832.4,149.3,267.2,6761.1,253.0,-2.5,6795.4,329.3,658.7,6865.3,158.0,662.2,6755.6,254.2,-271.4,6798.1,313.0,1011.9,6985.2,137.2,1015.1,6801.5,435.6,1094.3,6878.3,214.6,1115.8,6638.4,471.4,1090.9,6915.9,147.4,1116.3,6631.3,280.8,1079.9,7039.8,125.9,1074.0,6855.1,285.4,-417.3,6692.0,312.2,-439.3,6735.3,247.3,-440.3,6722.9,326.9,-409.0,6801.0,197.2,-408.1,6773.1,385.4,-198.5,6866.8,97.9,-226.4,6738.9,453.6,30.3,6870.2,42.0,30.4,6739.2,502.5,242.1,6759.8,39.0,252.9,6656.5,523.3,324.5,6746.6,22.4,336.9,6636.2,476.8,378.8,6717.4,77.1,396.2,6641.6,507.1,310.6,6714.9,66.0,329.7,6617.1,481.4,336.8,6704.7,90.5,356.9,6622.1
248.6,268.2,6863.7,348.1,262.0,6893.6,154.2,256.8,6823.7,257.0,-7.5,6856.7,332.8,665.8,6926.9,159.6,668.4,6818.3,259.3,-274.1,6859.2,315.5,1019.4,7042.2,138.3,1024.4,6865.1,440.0,1102.5,6936.6,215.8,1124.1,6704.0,475.3,1098.1,6974.9,148.8,1125.3,6695.7,283.5,1086.9,7094.5,127.2,1083.6,6916.6,287.9,-420.4,6754.1,315.8,-443.1,6795.7,248.8,-444.3,6784.6,330.9,-412.2,6861.5,198.9,-411.8,6835.3,390.0,-202.4,6927.9,100.1,-230.0,6802.7,460.0,30.7,6931.6,43.2,30.6,6803.5,507.4,244.1,6821.3,40.5,254.9,6718.9,528.2,327.3,6807.8,22.6,339.1,6699.1,481.4,382.2,6779.4,77.1,399.6,6704.5,511.5,313.5,6776.2,67.2,332.3,6680.3,484.2,339.9,6766.5,93.0,360.2,6685.9
256.1,257.4,6917.6,358.6,249.1,6946.9,160.1,245.9,6878.2,261.5,-13.3,6910.3,336.0,673.0,6980.4,161.0,673.8,6872.8,264.9,-276.4,6912.5,317.7,1025.4,7091.3,139.3,1032.4,6920.6,444.2,1109.2,6987.1,216.4,1130.4,6761.4,478.6,1103.6,7026.0,150.1,1132.5,6752.0,286.1,1092.2,7141.2,128.3,1091.9,6970.1,289.9,-422.6,6808.3,319.3,-446.4,6848.4,249.5,-447.7,6838.5,335.0,-414.8,6914.1,200.1,-415.1,6889.7,394.6,-206.3,6981.1,102.7,-234.1,6858.5,466.7,31.2,6985.2,44.6,30.8,6859.4,511.8,245.8,6874.8,42.4,256.5,6773.0,532.7,329.7,6861.0,22.9,340.7,6754.0,485.6,385.2,6833.3,76.9,402.5,6759.3,515.3,316.2,6829.6,68.8,334.2,6735.5,485.8,342.6,6820.2,96.6,363.0,6741.6
262.0,249.2,6948.1,366.5,239.8,6976.6,165.1,237.7,6909.3,265.0,-18.5,6940.2,338.1,677.8,7010.5,161.9,677.0,6904.1,269.4,-278.0,6942.1,318.8,1027.8,7117.1,139.7,1036.8,6952.5,447.0,1112.0,7014.6,216.0,1132.8,6795.7,480.3,1105.3,7053.8,150.8,1135.5,6785.3,287.7,1093.8,7164.5,129.0,1096.5,7000.0,291.0,-423.3,6839.1,321.8,-448.2,6877.7,249.5,-449.6,6868.8,337.9,-416.1,6943.1,200.7,-416.9,6920.2,398.0,-209.9,7010.5,105.1,-237.6,6890.6,471.8,31.6,7014.9,46.1,30.9,6891.8,514.5,246.5,6904.9,44.4,257.2,6804.1,535.3,330.9,6890.8,23.2,341.0,6785.7,488.0,386.9,6863.8,76.5,403.9,6791.0,517.3,317.7,6859.7,70.3,335.0,6767.5,485.6,344.2,6850.6,99.9,364.5,6774.1
266.3,243.6,6963.6,371.8,233.6,6991.5,168.7,232.2,6925.6,267.5,-22.6,6955.4,339.5,680.6,7025.5,162.5,678.6,6920.1,272.6,-279.0,6957.1,319.2,1027.9,7127.6,139.8,1038.7,6969.1,449.0,1112.4,7026.9,215.4,1133.1,6814.6,480.9,1104.7,7066.5,151.2,1136.2,6803.3,288.6,1093.2,7172.6,129.5,1098.6,7014.7,291.4,-423.2,6855.2,323.5,-449.1,6892.4,248.9,-450.6,6884.5,339.9,-416.5,6957.4,200.8,-417.9,6936.0,400.2,-212.6,7024.9,107.0,-240.3,6908.0,475.4,31.9,7029.4,47.2,30.9,6909.4,516.2,246.7,6919.6,46.1,257.3,6820.6,537.0,331.3,6905.1,23.4,340.8,6802.8,489.5,387.7,6878.8,76.1,404.6,6807.9,518.1,318.5,6874.2,71.7,335.0,6784.9,484.6,344.9,6865.5,102.8,365.3,6791.9
268.5,240.6,6963.0,374.2,230.0,6990.2,171.0,229.1,6925.5,268.8,-25.7,6954.4,340.2,681.9,7023.9,162.9,678.6,6920.3,274.1,-280.1,6955.7,319.0,1026.0,7121.9,139.7,1037.8,6969.4,449.6,1110.3,7023.2,214.0,1131.2,6817.6,480.4,1101.8,7062.9,151.1,1134.2,6805.6,289.1,1090.2,7164.4,129.7,1097.9,7013.2,290.9,-422.4,6855.3,324.2,-448.9,6891.1,247.9,-450.6,6884.0,340.7,-416.1,6955.6,200.7,-418.1,6935.4,400.8,-214.9,7023.3,108.7,-242.3,6908.8,476.9,32.2,7028.1,48.3,30.9,6910.5,516.6,246.4,6919.4,47.4,257.0,6821.4,537.2,331.0,6904.8,23.6,339.8,6804.2,489.8,387.7,6879.2,75.4,404.0,6809.2,517.7,318.6,6874.3,72.6,334.4,6786.5,483.0,345.0,6865.8,104.4,365.2,6793.9
270.0,238.3,6964.2,375.6,227.4,6990.9,172.5,226.8,6927.2,269.8,-28.2,6955.3,340.9,683.2,7024.4,163.4,678.8,6922.2,275.2,-281.4,6956.5,318.8,1024.5,7118.7,139.6,1037.4,6971.3,450.2,1108.6,7021.5,212.8,1130.1,6821.9,480.0,1099.5,7061.5,151.1,1133.0,6809.3,289.5,1088.0,7159.2,129.9,1097.7,7013.4,290.4,-421.9,6857.3,324.8,-448.9,6891.9,246.9,-450.7,6885.5,341.3,-415.8,6956.1,200.7,-418.4,6936.9,401.1,-216.8,7023.8,110.1,-244.0,6911.3,478.2,32.3,7028.8,49.1,30.9,6913.2,517.1,246.1,6920.7,48.5,256.7,6823.7,537.6,330.7,6905.9,23.8,339.0,6807.0,490.2,387.7,6880.9,74.6,403.6,6811.9,517.5,318.8,6875.7,73.3,334.1,6789.6,481.8,345.1,6867.5,105.6,365.2,6797.4
271.1,237.1,6962.2,376.6,226.1,6988.5,173.6,225.6,6925.7,270.5,-29.6,6953.1,341.3,683.9,7021.8,163.8,678.6,6921.0,276.0,-282.4,6954.1,318.6,1022.8,7112.8,139.4,1036.6,6969.9,450.6,1106.8,7017.1,211.8,1129.1,6822.8,479.4,1097.4,7057.2,151.1,1131.9,6809.8,289.8,1085.7,7151.4,130.1,1097.0,7010.6,289.8,-421.4,6856.1,325.1,-448.7,6889.7,246.1,-450.5,6883.9,341.7,-415.4,6953.4,200.6,-418.5,6935.2,401.4,-218.0,7021.1,111.1,-245.1,6910.6,478.9,32.6,7026.4,49.7,30.8,6912.5,517.3,245.9,6919.2,49.3,256.4,6822.8,537.7,330.5,6904.5,24.1,338.1,6806.6,490.4,387.6,6880.1,74.1,402.7,6811.5,517.1,318.9,6874.5,74.1,333.6,6789.6,480.8,345.1,6866.6,106.6,365.0,6797.7
271.9,236.2,6962.4,377.3,225.2,6988.3,174.5,224.7,6926.2,271.2,-30.7,6953.0,341.8,684.5,7021.3,164.2,678.7,6921.7,276.7,-283.2,6953.9,318.4,1021.6,7109.4,139.2,1036.0,6970.6,450.8,1105.6,7014.9,211.1,1128.5,6825.5,479.0,1096.1,7055.1,151.0,1131.2,6812.0,290.1,1084.1,7146.4,130.2,1096.5,7009.9,289.3,-421.1,6857.0,325.4,-448.6,6889.6,245.4,-450.6,6884.3,342.2,-415.2,6952.9,200.6,-418.8,6935.6,401.8,-218.8,7020.6,111.9,-245.9,6911.9,479.6,33.0,7026.3,50.2,30.8,6913.8,517.6,245.8,6919.8,50.1,256.2,6823.7,537.9,330.4,6905.1,24.4,337.6,6808.0,490.7,387.6,6881.2,73.9,402.3,6812.9,516.8,319.2,6875.3,74.9,333.3,6791.3,480.1,345.2,6867.7,107.7,364.9,6799.7
272.4,235.8,6963.0,377.8,224.5,6988.5,175.0,224.1,6927.1,271.6,-31.4,6953.5,342.3,685.0,7021.4,164.5,678.8,6922.8,277.1,-283.9,6954.3,318.3,1020.7,7106.9,139.1,1035.7,6971.6,451.0,1104.8,7013.5,210.4,1128.3,6828.3,478.7,1095.2,7053.9,151.0,1130.8,6814.4,290.4,1082.8,7142.6,130.3,1096.1,7009.7,288.9,-420.9,6858.4,325.7,-448.6,6890.1,244.9,-450.6,6885.4,342.5,-415.0,6953.1,200.6,-419.0,6936.6,402.0,-219.2,7020.8,112.4,-246.4,6913.6,480.2,33.2,7026.6,50.7,30.7,6915.4,517.8,245.6,6920.6,50.8,256.0,6824.9,538.1,330.2,6906.0,24.7,337.0,6809.5,491.0,387.6,6882.5,73.8,401.8,6814.4,516.7,319.3,6876.3,75.8,332.9,6793.0,479.6,345.3,6868.8,108.8,364.7,6801.8
272.7,235.6,6961.7,378.0,224.3,6986.9,175.3,223.8,6926.1,271.9,-31.7,6952.0,342.5,685.2,7019.6,164.8,678.7,6921.9,277.3,-284.3,6952.7,318.2,1019.7,7102.9,139.0,1035.2,6970.7,451.0,1103.8,7010.4,209.9,1127.9,6828.9,478.2,1094.2,7050.8,150.9,1130.3,6814.8,290.7,1081.4,7137.4,130.5,1095.5,7007.7,288.5,-420.5,6857.8,325.9,-448.4,6888.7,244.5,-450.5,6884.4,342.7,-414.6,6951.3,200.6,-419.2,6935.5,402.0,-219.5,7019.1,112.7,-246.7,6913.2,480.3,33.4,7025.2,51.0,30.7,6914.7,518.0,245.4,6919.9,51.5,255.7,6823.9,538.1,330.0,6905.3,25.1,336.6,6809.0,491.1,387.6,6882.2,73.9,401.3,6813.9,516.4,319.4,6875.8,76.7,332.6,6792.7,479.2,345.3,6868.5,109.9,364.5,6801.8
271.4,237.4,6962.3,377.1,226.9,6988.4,174.0,225.1,6926.1,271.0,-30.2,6952.3,342.1,684.7,7021.2,164.6,678.8,6921.7,276.3,-284.1,6952.3,318.4,1020.6,7107.6,139.2,1035.6,6970.2,450.7,1105.4,7014.5,210.4,1128.2,6826.3,478.1,1096.1,7054.6,150.3,1130.9,6812.7,290.9,1082.9,7143.9,131.3,1095.8,7008.4,288.0,-420.6,6856.1,325.4,-448.3,6888.0,244.7,-450.2,6883.0,342.0,-414.9,6951.0,200.6,-419.2,6934.3,401.6,-219.0,7019.2,112.0,-245.6,6911.3,479.3,33.1,7026.6,50.4,30.8,6912.4,517.9,245.5,6923.2,50.5,255.9,6822.8,538.2,330.0,6910.3,25.0,337.1,6807.7,491.2,387.6,6887.0,74.1,401.0,6812.5,516.6,319.5,6880.7,75.8,332.7,6791.2,480.5,345.6,6873.3,108.4,364.1,6799.9
271.7,237.3,6963.7,377.3,226.7,6989.4,174.4,224.9,6927.7,271.4,-30.6,6953.8,342.4,684.7,7022.0,165.0,678.9,6922.7,276.8,-284.5,6953.9,318.3,1020.1,7105.6,139.0,1035.5,6971.2,450.6,1104.5,7013.8,210.2,1128.4,6829.0,477.5,1095.6,7054.3,150.3,1131.0,6814.7,290.7,1082.2,7140.4,131.2,1095.6,7008.3,288.1,-420.7,6858.9,325.6,-448.5,6889.9,244.7,-450.4,6885.3,342.8,-414.8,6952.5,200.8,-419.4,6936.5,402.1,-219.4,7020.6,112.5,-245.9,6914.0,479.7,33.3,7028.4,50.6,30.8,6914.8,518.1,245.7,6926.0,50.8,255.9,6824.7,538.4,330.1,6913.4,25.5,337.1,6810.0,491.5,387.7,6890.6,74.3,400.7,6814.8,516.4,319.9,6884.0,76.6,332.5,6793.6,480.2,345.8,6877.0,109.3,363.9,6802.8
272.1,237.0,6965.2,377.5,226.3,6990.6,174.7,224.5,6929.5,271.8,-30.9,6955.5,342.6,685.0,7022.9,165.3,679.0,6923.9,277.4,-284.8,6955.6,318.2,1019.7,7104.0,138.8,1035.6,6972.4,450.6,1103.7,7013.3,210.0,1128.5,6831.6,477.0,1095.2,7054.1,150.3,1131.0,6816.8,290.7,1081.7,7137.6,131.1,1095.4,7008.4,288.1,-420.8,6861.7,326.0,-448.6,6892.1,244.7,-450.6,6887.8,343.8,-414.6,6954.3,201.1,-419.5,6939.0,403.0,-219.6,7022.2,113.0,-246.2,6916.9,480.2,33.4,7030.0,50.8,30.8,6917.3,518.3,245.7,6928.6,51.1,255.9,6826.8,538.6,330.1,6916.2,25.9,337.1,6812.3,491.8,387.7,6894.0,74.5,400.5,6817.2,516.3,320.2,6887.1,77.2,332.3,6796.1,479.8,345.9,6880.4,110.2,363.7,6805.6
272.5,236.8,6965.6,377.8,225.9,6990.7,175.0,224.2,6930.2,272.2,-31.2,6956.2,342.8,685.1,7022.9,165.6,679.2,6924.3,278.0,-285.0,6956.3,318.1,1019.3,7101.7,138.6,1035.5,6972.7,450.5,1102.9,7012.0,209.9,1128.4,6833.3,476.5,1094.8,7053.1,150.4,1130.9,6818.1,290.7,1081.2,7134.2,131.1,1095.1,7007.7,288.3,-421.0,6863.5,326.3,-448.7,6893.3,244.8,-450.7,6889.3,344.8,-414.4,6955.1,201.5,-419.7,6940.4,404.1,-219.6,7022.7,113.5,-246.4,6918.6,480.7,33.7,7030.7,51.1,30.8,6918.7,518.5,245.8,6930.1,51.3,255.8,6828.2,538.8,330.2,6918.1,26.2,337.0,6813.9,492.1,387.8,6896.5,74.6,400.0,6818.9,516.2,320.4,6889.3,77.7,332.1,6797.9,479.5,346.1,6882.9,110.7,363.3,6807.7
272.9,236.5,6966.4,378.0,225.5,6991.3,175.3,223.8,6931.4,272.6,-31.6,6957.1,343.1,685.3,7023.3,165.9,679.3,6925.0,278.7,-285.4,6957.4,318.0,1018.9,7100.2,138.5,1035.5,6973.4,450.4,1102.3,7011.4,209.9,1128.4,6835.3,476.1,1094.5,7052.5,150.4,1130.8,6819.7,290.7,1080.7,7131.7,131.1,1095.0,7007.4,288.5,-421.2,6865.7,326.8,-448.8,6894.9,245.0,-450.9,6891.0,345.8,-414.3,6956.3,202.0,-419.9,6942.1,405.3,-220.0,7023.4,113.9,-246.6,6920.6,481.3,33.8,7031.6,51.4,30.7,6920.6,518.7,245.9,6931.9,51.4,255.6,6830.1,538.9,330.2,6920.1,26.3,336.8,6816.1,492.3,387.9,6899.1,74.6,399.7,6821.1,516.2,320.7,6891.6,77.7,331.9,6800.2,479.4,346.3,6885.4,110.8,363.1,6810.2
273.1,236.3,6965.8,378.2,225.3,6990.1,175.5,223.6,6931.2,273.0,-31.7,6956.6,343.2,685.4,7022.1,166.1,679.3,6924.5,279.4,-285.7,6956.9,317.9,1018.5,7097.3,138.4,1035.4,6972.7,450.2,1101.4,7009.4,209.9,1128.2,6835.8,475.6,1093.9,7050.6,150.5,1130.7,6819.8,290.7,1080.1,7128.1,131.0,1094.7,7005.8,288.5,-421.3,6866.1,327.0,-448.9,6894.7,245.0,-451.0,6891.2,347.0,-414.2,6955.7,203.0,-419.9,6942.2,407.0,-220.0,7022.3,114.4,-246.7,6921.3,481.9,34.2,7030.6,51.6,30.6,6921.3,518.8,246.0,6932.1,51.1,255.2,6831.1,539.0,330.3,6920.5,26.0,335.9,6817.6,492.6,387.8,6899.9,73.9,398.2,6822.5,516.1,321.1,6892.3,77.3,331.3,6801.8,479.2,346.4,6886.4,110.3,362.4,6811.9
273.3,236.3,6966.8,378.6,225.3,6990.6,175.5,223.6,6932.8,273.4,-31.8,6957.7,343.3,685.9,7022.3,166.1,679.5,6925.1,280.1,-285.8,6958.1,317.9,1018.4,7096.1,138.3,1035.5,6973.5,450.1,1100.9,7009.0,209.9,1128.3,6837.4,475.2,1093.6,7050.3,150.5,1130.8,6821.1,290.9,1079.8,7126.2,131.1,1094.8,7005.7,288.5,-421.5,6868.1,327.2,-449.0,6896.2,245.0,-451.2,6893.1,348.3,-414.2,6956.7,204.0,-420.1,6944.2,408.9,-220.1,7022.6,114.8,-246.7,6923.9,482.8,34.7,7031.0,51.6,30.6,6924.2,519.1,246.2,6933.5,49.5,254.2,6834.3,539.1,330.4,6921.8,24.2,333.9,6821.1,492.9,387.7,6901.6,69.6,395.2,6826.0,516.0,321.5,6894.0,74.4,329.7,6805.4,479.1,346.5,6888.3,107.5,360.6,6815.6
273.5,236.2,6972.2,379.0,225.2,6995.6,175.6,223.6,6938.6,273.9,-31.9,6963.4,343.6,686.2,7027.3,166.3,679.9,6930.1,281.2,-286.1,6963.9,318.0,1018.8,7099.5,138.3,1036.2,6978.4,450.3,1101.1,7012.7,210.1,1129.0,6843.0,475.3,1094.0,7054.1,150.7,1131.5,6826.4,291.0,1080.3,7129.0,131.1,1095.4,7009.9,288.9,-421.8,6874.7,328.0,-449.4,6902.3,245.4,-451.6,6899.5,349.7,-414.3,6962.5,205.5,-420.4,6950.6,410.4,-220.3,7027.7,115.6,-246.9,6930.7,483.9,35.3,7036.3,51.5,30.6,6931.2,519.8,246.5,6939.5,44.1,252.9,6841.8,539.6,330.7,6927.8,18.0,331.7,6828.4,493.6,387.9,6908.0,58.9,392.4,6833.1,516.3,322.0,6900.3,64.9,327.7,6812.8,479.3,346.9,6894.8,98.1,358.4,6823.1
273.7,236.2,6975.8,379.3,225.1,6998.7,175.6,223.5,6942.9,274.3,-32.0,6967.4,343.9,686.7,7030.5,166.4,680.2,6933.3,282.3,-286.5,6968.0,318.1,1019.1,7101.4,138.2,1036.7,6981.5,450.4,1101.1,7015.1,210.1,1129.5,6846.9,475.2,1094.1,7056.6,150.8,1132.0,6830.0,291.3,1080.4,7130.4,131.2,1095.8,7012.3,289.1,-422.2,6879.6,328.6,-449.7,6906.7,245.6,-451.9,6904.3,351.2,-414.5,6966.6,207.0,-420.7,6955.4,412.6,-220.4,7030.8,116.3,-247.1,6936.0,485.1,35.7,7039.5,51.4,30.6,6936.1,520.4,246.7,6943.1,35.6,248.6,6845.1,540.0,330.9,6931.3,6.2,327.0,6831.0,494.3,388.1,6912.0,41.7,389.3,6835.6,516.6,322.3,6904.2,48.3,323.2,6815.3,479.6,347.1,6898.8,81.3,354.8,6825.6
