pelvis_x,pelvis_y,pelvis_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,torso_x,torso_y,torso_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,neck_x,neck_y,neck_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_big_toe_x,left_big_toe_y,left_big_toe_z,right_big_toe_x,right_big_toe_y,right_big_toe_z,left_small_toe_x,left_small_toe_y,left_small_toe_z,right_small_toe_x,right_small_toe_y,right_small_toe_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_knuckle_x,left_pinky_knuckle_y,left_pinky_knuckle_z,right_pinky_knuckle_x,right_pinky_knuckle_y,right_pinky_knuckle_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,left_index_knuckle_x,left_index_knuckle_y,left_index_knuckle_z,right_index_knuckle_x,right_index_knuckle_y,right_index_knuckle_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z, right_thumb_tip_x, right_thumb_tip_y, right_thumb_tip_z
-5.5,71.9,4090.9,98.6,69.6,4090.1,-110.0,52.8,4097.4,0.6,-173.2,4077.5,89.3,458.7,3892.2,-88.5,469.6,3930.2,4.6,-409.7,4062.0,103.6,862.6,4049.7,-101.5,874.1,4084.9,56.6,969.2,3872.0,-100.9,977.1,3912.2,113.3,974.6,3899.1,-156.3,976.6,3925.2,107.2,911.8,4117.0,-94.9,927.5,4150.8,34.4,-533.1,3923.5,55.1,-566.5,3966.2,-2.0,-562.3,3961.1,81.3,-541.9,4033.6,-52.3,-538.9,4029.3,181.0,-331.6,4065.5,-171.7,-355.8,4075.5,239.8,-58.4,4120.0,-225.8,-74.3,4115.3,234.6,181.8,4043.5,-237.4,155.3,4005.1,239.6,263.0,4036.8,-244.9,235.2,3989.2,184.8,307.1,4006.1,-188.2,282.8,3972.4,217.1,252.1,3995.4,-212.5,223.4,3955.1,188.3,268.0,3988.2,-185.1,241.7,3948.4
-4.9,72.1,4105.5,99.9,65.0,4104.8,-109.8,50.1,4111.3,0.9,-175.4,4093.6,90.1,464.8,3922.5,-89.2,473.7,3955.4,5.5,-413.0,4080.7,103.6,868.8,4067.6,-101.9,877.7,4100.1,58.1,971.9,3890.8,-99.9,979.5,3929.7,114.4,977.5,3916.4,-154.0,978.7,3941.6,106.1,922.5,4131.2,-95.7,932.8,4163.3,34.8,-536.5,3948.1,58.4,-569.7,3989.6,-2.1,-566.1,3984.7,82.0,-542.9,4055.7,-51.7,-541.7,4051.2,178.3,-336.3,4087.2,-168.5,-357.7,4094.7,239.8,-58.5,4135.3,-226.6,-75.7,4130.0,236.9,182.3,4058.6,-237.5,153.6,4021.4,244.4,263.9,4051.3,-246.0,233.2,4006.7,192.6,308.3,4021.7,-191.0,281.2,3990.5,219.8,253.0,4011.3,-213.0,222.7,3973.8,189.6,269.1,4004.5,-184.9,241.7,3967.7
-3.8,72.6,4118.2,101.9,62.1,4117.6,-109.1,48.3,4123.1,1.5,-177.1,4107.3,90.9,473.3,3952.1,-89.9,479.3,3979.1,7.0,-416.1,4096.7,103.1,874.7,4084.8,-102.2,881.1,4114.2,60.1,973.9,3909.1,-98.5,980.6,3946.0,115.9,979.7,3933.3,-151.3,979.6,3956.8,104.3,932.1,4144.9,-96.8,938.1,4174.7,35.5,-539.7,3969.8,62.9,-572.5,4010.2,-2.1,-569.9,4005.5,83.0,-543.2,4074.9,-50.6,-544.1,4070.4,175.3,-341.0,4106.0,-164.1,-359.4,4110.9,239.6,-58.6,4148.6,-227.1,-77.0,4142.1,239.9,182.5,4072.1,-237.2,152.1,4035.6,250.6,264.5,4064.2,-246.9,231.3,4022.0,202.1,309.4,4035.6,-194.6,279.8,4006.2,223.5,253.6,4025.5,-213.4,222.0,3990.0,191.2,270.1,4019.2,-184.5,241.7,3984.6
-2.5,74.3,4124.9,104.1,61.7,4124.7,-108.1,48.8,4129.0,2.6,-177.6,4115.2,91.6,481.2,3974.6,-90.3,486.9,3996.3,8.8,-418.2,4106.6,102.1,879.1,4096.2,-102.4,883.2,4122.8,61.8,975.2,3922.1,-97.0,980.9,3956.9,117.0,980.8,3944.9,-148.7,979.5,3966.8,102.0,938.5,4153.0,-97.5,941.7,4180.7,36.4,-542.0,3985.4,67.5,-574.4,4024.4,-2.2,-572.9,4020.1,84.2,-542.8,4087.8,-49.4,-545.7,4083.4,173.0,-344.6,4118.7,-160.5,-360.6,4120.7,239.0,-58.5,4156.2,-227.3,-77.6,4148.2,242.4,182.3,4080.2,-236.3,151.2,4044.0,255.1,264.7,4071.7,-247.4,229.9,4031.5,208.7,310.0,4044.2,-197.9,278.5,4016.0,226.6,253.8,4034.4,-213.4,221.6,4000.5,192.7,270.7,4028.4,-183.9,241.8,3995.5
-1.4,74.8,4129.3,105.8,59.6,4129.3,-107.0,47.3,4132.6,3.7,-178.8,4120.7,92.3,485.4,3992.6,-90.7,490.1,4009.5,10.7,-420.2,4114.2,101.4,883.1,4103.8,-102.5,884.6,4128.1,63.4,975.6,3930.8,-95.6,980.9,3964.3,118.3,981.1,3952.4,-146.7,979.2,3973.4,100.3,943.8,4157.5,-98.2,944.0,4183.8,37.3,-543.8,3998.0,71.0,-575.8,4036.0,-2.1,-575.1,4031.8,85.3,-542.2,4098.1,-48.1,-546.8,4093.8,171.3,-347.9,4128.9,-158.0,-361.5,4128.3,238.5,-58.6,4161.5,-227.4,-78.2,4152.0,244.5,182.1,4086.2,-235.8,150.2,4049.6,258.6,264.6,4077.2,-247.9,228.6,4038.1,213.3,310.5,4050.6,-200.7,277.7,4022.9,229.3,253.8,4041.2,-213.5,221.1,4007.9,194.2,271.2,4035.4,-183.5,241.8,4003.4
-0.4,75.6,4132.9,107.1,58.6,4133.1,-106.1,46.8,4135.5,4.7,-179.5,4125.5,92.9,489.5,4008.1,-90.9,492.8,4021.5,12.1,-421.7,4120.6,100.5,886.1,4109.7,-102.7,885.9,4132.9,64.6,976.2,3937.9,-94.6,981.0,3970.8,119.3,981.4,3958.4,-145.3,979.0,3979.2,98.8,947.4,4160.8,-99.1,945.9,4186.4,38.5,-545.4,4009.1,74.2,-577.0,4046.0,-2.1,-577.1,4042.0,86.4,-542.0,4107.0,-47.2,-547.7,4102.6,170.1,-350.2,4137.8,-156.2,-362.2,4134.8,237.9,-58.5,4166.0,-227.4,-78.7,4155.3,245.9,182.0,4091.4,-235.2,149.6,4054.9,260.1,264.8,4082.0,-248.3,227.8,4044.3,215.4,310.9,4056.2,-202.8,277.1,4029.3,231.0,253.9,4047.1,-213.6,220.7,4014.8,195.4,271.6,4041.5,-183.2,241.7,4010.8
0.5,75.8,4134.3,108.2,57.0,4134.6,-105.1,45.9,4136.2,5.6,-180.4,4127.9,93.3,491.9,4019.1,-91.2,494.6,4029.7,13.3,-423.1,4124.7,99.8,887.7,4113.2,-102.7,886.6,4134.9,65.4,976.5,3942.5,-93.9,981.1,3974.6,120.1,981.5,3961.9,-144.5,978.8,3982.3,97.8,948.7,4161.9,-99.6,946.9,4186.5,39.7,-546.6,4017.3,76.9,-577.8,4053.3,-2.1,-578.7,4049.5,87.4,-542.0,4113.4,-46.2,-548.3,4108.9,169.5,-352.0,4143.9,-154.9,-362.9,4138.9,237.4,-58.6,4168.4,-227.1,-78.9,4156.4,247.1,181.7,4094.6,-234.7,149.3,4057.7,261.1,264.7,4084.9,-248.5,227.7,4048.1,216.1,311.2,4059.8,-204.7,277.0,4033.3,232.3,253.9,4050.9,-213.9,220.6,4019.2,196.3,271.9,4045.5,-183.4,241.8,4015.6
1.1,75.4,4136.4,108.9,53.3,4136.6,-104.5,43.2,4138.0,6.2,-181.9,4131.2,93.5,493.0,4028.9,-91.5,495.0,4038.0,14.3,-424.2,4129.9,99.6,889.1,4116.7,-102.7,887.3,4137.2,65.6,976.9,3946.4,-93.4,981.2,3978.2,120.3,981.8,3965.0,-144.1,978.8,3985.3,97.4,949.6,4163.3,-99.9,947.8,4187.0,40.7,-547.9,4025.9,79.0,-578.7,4061.2,-1.9,-580.2,4057.5,88.4,-542.1,4120.3,-45.4,-549.1,4116.0,169.2,-353.5,4150.8,-154.1,-363.5,4144.6,237.3,-58.6,4171.2,-226.7,-79.3,4158.8,247.6,181.7,4097.8,-234.4,149.2,4061.2,261.2,264.9,4087.9,-248.9,227.7,4052.5,216.1,311.5,4063.2,-206.3,277.1,4038.0,232.5,254.0,4054.7,-214.2,220.6,4024.2,196.6,272.1,4049.4,-183.6,241.8,4021.0
1.6,75.3,4137.1,109.3,51.8,4137.4,-103.8,42.0,4138.4,6.8,-182.9,4133.2,93.8,494.6,4036.6,-91.7,497.1,4044.5,15.0,-425.1,4133.5,99.3,890.2,4119.1,-102.7,887.8,4138.7,66.0,977.3,3949.8,-93.1,981.4,3981.2,120.7,982.0,3967.4,-143.9,978.9,3987.9,97.0,950.2,4163.8,-100.2,948.3,4186.9,41.5,-548.9,4032.8,80.5,-579.3,4067.3,-1.8,-581.4,4063.9,89.2,-542.0,4125.7,-44.6,-549.5,4121.5,168.9,-354.8,4155.7,-153.5,-363.9,4148.4,237.1,-58.6,4172.9,-226.5,-79.4,4159.8,247.9,181.6,4100.0,-233.8,149.4,4063.5,261.2,265.0,4089.8,-249.0,227.9,4055.5,215.7,311.7,4065.6,-207.1,277.2,4041.2,232.5,254.0,4057.3,-214.4,220.8,4027.8,196.6,272.3,4052.2,-183.8,242.0,4024.9
2.1,75.2,4138.0,109.7,51.2,4138.2,-103.4,41.1,4139.1,7.3,-183.7,4135.1,94.0,495.7,4044.0,-91.9,497.4,4049.7,15.7,-425.8,4137.0,99.2,890.6,4122.4,-102.8,888.2,4139.7,66.2,977.8,3953.7,-92.9,981.6,3983.7,120.8,982.5,3970.8,-143.6,979.0,3989.8,96.7,949.8,4165.4,-100.5,948.4,4186.5,42.1,-549.8,4039.1,81.5,-579.8,4072.8,-1.6,-582.4,4069.7,90.0,-542.2,4130.6,-43.9,-549.9,4126.5,168.8,-355.6,4160.0,-153.0,-364.3,4152.4,237.1,-58.7,4174.4,-226.1,-79.5,4161.1,247.9,181.7,4102.0,-233.5,149.5,4065.8,260.8,265.1,4091.6,-249.2,228.1,4058.5,215.1,311.8,4067.8,-207.3,277.2,4044.5,232.1,254.1,4059.8,-214.5,221.0,4031.5,196.4,272.5,4054.8,-183.8,242.1,4028.9
2.4,75.4,4139.5,110.0,52.0,4139.7,-103.0,41.4,4140.2,7.6,-183.9,4137.7,94.3,497.1,4051.6,-92.0,498.9,4056.1,16.2,-426.5,4141.1,99.1,891.2,4125.9,-102.8,888.7,4141.9,66.4,978.7,3958.4,-92.6,982.2,3987.3,120.9,983.1,3974.7,-143.3,979.4,3993.1,96.5,949.9,4167.4,-100.7,948.6,4187.3,42.7,-550.7,4045.7,82.3,-580.4,4078.9,-1.3,-583.5,4075.8,90.5,-542.5,4136.2,-43.3,-550.5,4132.0,168.6,-356.3,4164.9,-152.4,-364.7,4156.7,237.0,-58.7,4176.6,-225.7,-79.7,4162.8,247.8,182.0,4105.2,-233.3,149.5,4068.8,260.5,265.3,4094.7,-249.4,228.2,4062.1,214.9,311.9,4071.3,-207.8,277.1,4048.1,231.9,254.3,4063.6,-214.8,221.0,4035.5,196.4,272.7,4058.6,-184.1,242.0,4033.2
